Name,Department,Research Introduction,Research Interests,Selected Publications,External Links
"Hashim M. Al-Hashimi, PhD",Biochemistry and Molecular Biophysics,"Al-Hashimi is interested in developing a deep, quantitative, and predictive understanding of cellular processes based on the fundamental behaviors of nucleic acids and their interactions with protein binding partners.  Over the past two decades, Al-Hashimi and his trainees developed approaches combining NMR spectroscopy, computational modeling, optical melting experiments, and chemical probing to determine 3D dynamic ensembles of RNA and DNA molecules at atomic resolution.  Using dynamic ensembles of nucleic acids, the Al-Hashimi group has developed quantitative and predictive models for several fundamental biological processes, including DNA replication fidelity, Tat-dependent HIV-1 transcriptional activation, RNA folding, and the impact of post-transcriptional modifications such as m6A and Nm on translation, splicing, and RNA-protein interactions.  These studies have reshaped structural biology, revealing dynamic ensembles as the fundamental behavior of biomolecules needed to understand and predict cellular activity quantitatively.The Al-Hashimi lab is currently using dynamic ensembles to reconstitute the folding and cellular activities of viral and other non-coding RNAs, to determine the role of DNA structural dynamics in shaping the probabilities of mutagenesis and cancer, and to rationally design inhibitors targeting viral RNA regulatory elements in HIV-1 and SARS-CoV-2 as well as non-coding RNAs involved in cancer.  Efforts include developing and applying high throughput sequencing-based approaches to map DNA structural dynamics genome-wide, developing high throughput assays for quantitatively measuring the activity of various steps in the HIV-1 lifecycle, and determining an atlas of dynamic ensembles for all nucleic acid building block motifs.  A more recent area includes efforts to digitize biochemistry by describing biomolecules in terms of finite-state-computing machines and applying complexity theory to classifying biochemical reactions.As a mentor, Al-Hashimi is strongly committed to creating a welcoming, enriching, and supportive environment for all his trainees and effectively preparing them for careers in science.  To date, he has trained over thirty-five graduate students and postdoctoral fellows with backgrounds in biochemistry, cell biology, chemistry, computer science, physics, and mathematics.  His alumni include heads of laboratories at universities in the US, France, Sweden, India, and China and scientists at many biotech companies, large pharmaceutical firms, and management consulting firms.  Over 30 undergraduates have also worked in the Al-Hashimi laboratory.Al-Hashimi Lab:https://www.biochem.cuimc.columbia.edu/research/research-labs/al-hashimi...",Mechanisms of Cancer-Causing Mutations NMR Spectroscopy Nucleic Acid Structural Dynamics In Vitro and In Vivo RNA Biology and Drug Discovery,"Zhang, Q., Sun, X., Watt, E.D., & Al-Hashimi, H.M., Resolving the motional modes that code for RNA adaptation. Science 311 (5761), 653-656 (2006). Zhang, Q., Stelzer, A.C., Fisher, C.K., & Al-Hashimi, H.M., Visualizing spatially correlated dynamics that directs RNA conformational transitions. Nature 450 (7173), 1263-1267 (2007). Bailor, M.H., Sun, X., & Al-Hashimi, H.M., Topology links RNA secondary structure with global conformation, dynamics, and adaptation. Science 327 (5962), 202-206 (2010). Nikolova, E.N. et al. , Transient Hoogsteen base pairs in canonical duplex DNA. Nature 470 (7335), 498-502 (2011). Dethoff, E.A., Chugh, J., Mustoe, A.M., & Al-Hashimi, H.M., Functional complexity and regulation through RNA dynamics. Nature 482 (7385), 322-330 (2012). Dethoff, E.A., Petzold, K., Chugh, J., Casiano-Negroni, A., & Al-Hashimi, H.M., Visualizing transient low-populated structures of RNA. Nature 491 (7426), 724-728 (2012). Kimsey, I.J., Petzold, K., Sathyamoorthy, B., Stein, Z.W., & Al-Hashimi, H.M., Visualizing transient Watson-Crick-like mispairs in DNA and RNA duplexes. Nature 519 (7543), 315-320 (2015). Kimsey, I.J. et al. , Dynamic basis for dG*dT misincorporation via tautomerization and ionization. Nature 554 (7691), 195-201 (2018). Ganser, L.R. et al. , High-performance virtual screening by targeting a high-resolution RNA dynamic ensemble. Nat Struct Mol Biol 25 (5), 425-434 (2018). Ganser, L.R., Kelly, M.L., Herschlag, D., & Al-Hashimi, H.M., The roles of structural dynamics in the cellular functions of RNAs. Nat Rev Mol Cell Biol 20 (8), 474-489 (2019). Shi, H. et al. , Rapid and accurate determination of atomistic RNA dynamic ensemble models using NMR and structure prediction. Nat Commun 11 (1), 5531 (2020). Afek, A. et al. , DNA mismatches reveal conformational penalties in protein-DNA recognition. Nature 587 (7833), 291-296 (2020). Ganser, L.R. et al. , Probing RNA Conformational Equilibria within the Functional Cellular Context. Cell Rep 30 (8), 2472-2480.e2474 (2020). Liu, B. et al. , A quantitative model predicts how m(6)A reshapes the kinetic landscape of nucleic acid hybridization and conformational transitions. Nat Commun 12 (1), 5201 (2021). Gu, S. et al., Dynamic basis for dA• dGTP and dA• d8OGTP misincorporation via Hoogsteen base pairs. Nat Chem Biol 19, 900-910 (2023). Ken, M.L. et al., RNA conformational propensities determine cellular activity. Nature 617 (7962), 835-841 (2023). For a complete list of publications, please visit PubMed.gov Columbia University Irving Medical Center NewYork-Presbyterian ColumbiaDoctors About Us Education Research Department of Biochemistry and Molecular Biophysics 701 West 168th Street New York , NY 10032 United States Follow Us Facebook Twitter YouTube LinkedIn © 2024 Columbia University Privacy Policy Terms and Conditions HIPAA General Information: 212-305-2862 Back to top","https://pubmed.ncbi.nlm.nih.gov/?term=Al-Hashimi+HM, https://www.linkedin.com/company/2623/"
"Richard Axel, MD",Biochemistry and Molecular Biophysics,"Mammals possess an olfactory system of inordinate discriminatory power. We are studying how the diversity and specificity of olfactory perception is accomplished. Our analysis of the patterns of expression of the odorant receptor genes, coupled with earlier electrophysiologic experiments have provided a logic for olfactory discrimination. Individual olfactory sensory neurons express only one of a thousand receptor genes. Neurons expressing a given receptor, although randomly distributed in domains in the epithelium, project their axons to a small number of topographically fixed loci or glomeruli in the olfactory bulb. These data support a model of olfactory coding in which discrimination of odor quality would result from the detection of specific spatial patterns of activity in the olfactory bulb.",Neurogenetics Sensory Physiology Synapses and Circuits,"2015 Gore F, Schwartz EC, Brangers BC, Aladi S, Stujenske JM, Likhtik E, Russo MJ, Gordon JA, Salzman CD, Axel R. Neural Representations of Unconditioned Stimuli in Basolateral Amygdala Mediate Innate and Learned Responses. Cell 162(1):134-45. 2014 Aso Y, Hattori D, Yu Y, Johnston RM, Iyer NA, Ngo TT, Dionne H, Abbott LF, Axel R, Tanimoto H, Rubin GM. The neuronal architecture of the mushroom body provides a logic for associative learning. Elife. 3:e04577. 2008 Fleischmann, A., B.M. Shykind, D.L. Sosulski, K.M. Franks, M.E. Glinka, D-F., Mei, Y. Sun, J. Kirkland, M., M. Mendelsohn, M.W. Albers, and R. Axel. Mice with a ""Monoclonal: Nose"": Perturbations in an Olfactory Map Impair Odor Discrimination. Neuron 60:1068-1081. 2008 Datta. S.R., M.L.Vasconcelos, V. Ruta, S. Luo, A. Wong, E. Demir, J. Flores, K. Balonze, B.J.Dickson, and R. Axel. The Drosophila pheromone cVA activates a sexually dimorphic neural circuit. Nature 452:473-477. 2008 Barnea, G., W. Strapps, G. Herrada, Y. Berman, J. Ong, B. Kloss, R. Axel, and K. J. Lee. The genetic design of signaling cascades to record receptor activation. Proc. Natl. Acad. Sci., USA (December 28, 2007, Published Ahead of Print) 105(1) 64-69. 2007 Mancia, F., S. Brenner-Morton, R. Siegel, Z. Assur, Y. Sun, Y, I. Schieren, M. Mendelsohn, R. Axel, and W. Hendrickson. Production and characterization of monoclonal antibodies sensitive to conformation in the 5HT2c serotonin receptor. Proc. Natl. Acad. Sci., USA 104: 4303-4308 2006 Lomvardas, S., G. Barnea., D.J. Pisapia,, and R. Axel. Interchromosomal interaction and olfactory receptor choice. Cell, 126:403-413. 2004 Suh, S.B., A.M. Wong, A.C. Hergarden, J.W. Wang, A. Simon, S. Benzer, R. Axel, and D.J. Anderson. A single population of olfactory sensory neurons mediates an innate avoidance behavior in Drosophila. Nature 431:854-859. 2004 Shah, N.M., D. Pisapia., S. Maniatis, M. Mendelsohn, A. Nemes, and R. Axel. Visualizing sexual dimorphism in the brain. Neuron 43:313-319. For a complete list of publications, please visit PubMed.gov Columbia University Irving Medical Center NewYork-Presbyterian ColumbiaDoctors About Us Education Research Department of Biochemistry and Molecular Biophysics 701 West 168th Street New York , NY 10032 United States Follow Us Facebook Twitter YouTube LinkedIn © 2024 Columbia University Privacy Policy Terms and Conditions HIPAA General Information: 212-305-2862 Back to top","https://www.ncbi.nlm.nih.gov/pubmed?cmd=Search&amp;term=Axel%20R, https://www.linkedin.com/company/2623/"
"Andrea Califano, Dr",Biochemistry and Molecular Biophysics,N/A,N/A,N/A,"https://califano.c2b2.columbia.edu/, http://califano.c2b2.columbia.edu/n-of-1-clinical-trials-precision-medicine-cancer, http://genome.columbia.edu/, https://www.linkedin.com/company/2623/"
"Bridget Carragher, PhD",Biochemistry and Molecular Biophysics,"For almost my entire career I have been involved in the development of streamlined and automated methods for EM aimed at improving both the quality of EM data as well as the accessibility of these techniques to the wider biological community. Over the past 16 years my colleague, Clinton S. Potter, and I have built the National Resource for Automated Molecular Microscopy (NRAMM) up from scratch into an internationally respected Resource that is acknowledged to lead the way in the development and application of automated technologies for EM and in providing training at all levels. NRAMM has contributed to over 280 papers since it began. Contributions to teaching and training activities have included individual student and post-doctoral supervision and mentoring, and the organization of many workshops and courses. Of note is the large biennial NRAMM training workshop that has earned an outstanding international reputation.","Automation Cryo electron microscopy (cryoEM) New technology Protein structure Grants Ongoing Research Support P41 GM103310 (Carragher) 05/01/17 – 03/31/22 NIH/NIGMS National Resource for Automated Molecular Microscopy The overall goal is to provide a Research Resource for high-throughput molecular microscopy using automation for data acquisition and processing. Past Research Support P50 GM073197-07 Stevens (PI) 0 9/30/2009 - 07/31/2015 JCIMPT-Complexes The primary mission is to develop and disseminate novel and enabling methods and technologies that lead to the structure determination of human membrane proteins and their complexes. The goal of the TEM subproject is to develop an automated assay to image, select, and classify membrane protein complexes. Role: Investigator R01 GM095573-01 Carragher (PI) 09/30/2010 - 07/31/2015 A Helical Crystallization Pipeline for Membrane Protein Structure by TEM This project aims to establish helical crystallization as a standard method to add to the armamentarium of approaches for determining the structure of these critically important macromolecular machines. Role:Co-PI R01 GM099678 (Carragher and Potter) 09/01/12-08/31/16 NIH/NIGMS Continued Development and Maintenance of Appion Software The objective is to provide support for the continued development and maintenance of the Appion software. R01 GM103966-01 (Potter) 04/01/13-02/28/17 NIH/NIGMS High Throughput EM Sample Preparation for Structural Biology The objective is to develop a novel approach to TEM specimen preparation, incorporating miniaturization and small volume (picoliter to nanoliter) dispensing that will enable high throughput screening of negatively stained samples.","Carragher B, Bluemke DA, Gabriel B, Potel MJ, Josephs R. Structural analysis of polymers of sickle cell hemoglobin. I. Sickle hemoglobin fibers. J Mol Biol. 1988;199(2):315-31. Carragher B, Whittaker M, Milligan RA. Helical processing using PHOELIX. J Struct Biol. 1996;116(1):107-12. Henderson R, Sali A, Baker ML, Carragher B, Devkota B, Downing KH, Egelman EH, Feng Z, Frank J, Grigorieff N, Jiang W, Ludtke SJ, Medalia O, Penczek PA, Rosenthal PB, Rossmann MG, Schmid MF, Schroder GF, Steven AC, Stokes DL, Westbrook JD, Wriggers W, Yang H, Young J, Berman HM, Chiu W, Kleywegt GJ, Lawson CL. Outcome of the first electron microscopy validation task force meeting. Structure. 2012;20(2):205-14. PMCID: 3328769. Lander GC, 4Stagg SM, Voss NR, Cheng A, Fellmann D, Pulokas J, Yoshioka C, Irving C, Mulder A, Lau PW, Lyumkis D, Potter CS, Carragher B. Appion: an integrated, database-driven pipeline to facilitate EM image processing. J Struct Biol. 2009;166(1):95-102. PMCID: 2775544. Lyumkis D, Julien JP, de Val N, Cupo A, Potter CS, Klasse PJ, Burton DR, Sanders RW, Moore JP, Carragher B, Wilson IA, Ward AB. Cryo-EM structure of a fully glycosylated soluble cleaved HIV-1 envelope trimer. Science. 2013;342(6165):1484-90. Marabini R, Carragher B, Chen S, Chen J, Cheng A, Downing KH, Frank J, Grassucci RA, Bernard Heymann J, Jiang W, Jonic S, Liao HY, Ludtke SJ, Patwari S, Piotrowski AL, Quintana A, Sorzano CO, Stahlberg H, Vargas J, Voss NR, Chiu W, Carazo JM. CTF Challenge: Result summary. J Struct Biol. 2015;190(3):348-59. PMCID: 4672951. Moeller A, Kirchdoerfer RN, Potter CS, Carragher B, Wilson IA. Organization of the influenza virus replication machinery. Science. 2012;338(6114):1631-4. PMCID: PMC3578580. Mulder AM, Yoshioka C, Beck AH, Bunner AE, Milligan RA, Potter CS, Carragher B, Williamson JR. Visualizing ribosome biogenesis: parallel assembly pathways for the 30S subunit. Science. 2010;330(6004):673-7. PMCID: PMC2990404. Mulligan SK, Speir JA, Razinkov I, Cheng A, Crum J, Jain T, Duggan E, Liu E, Nolan JP, Carragher B, Potter CS. Multiplexed TEM Specimen Preparation and Analysis of Plasmonic Nanoparticles. Microsc Microanal. 2015;21(4):1017-25. Patwardhan A, Carazo JM, Carragher B, Henderson R, Heymann JB, Hill E, Jensen GJ, Lagerstedt I, Lawson CL, Ludtke SJ, Mastronarde D, Moore WJ, Roseman A, Rosenthal P, Sorzano CO, Sanz-Garcia E, Scheres SH, Subramaniam S, Westbrook J, Winn M, Swedlow JR, Kleywegt GJ. Data management challenges in three-dimensional EM. Nat Struct Mol Biol. 2012;19(12):1203-7. PMCID: 4048199. Potter CS, Pulokas J, Smith P, Suloway C, Carragher B. Robotic grid loading system for a transmission electron microscope. J Struct Biol. 2004;146(3):431-40. Quispe J, Damiano J, Mick SE, Nackashi DP, Fellmann D, Ajero TG, Carragher B, Potter CS. An improved holey carbon film for cryo-electron microscopy. Microsc Microanal. 2007;13(5):365-71. Razinkov I, Dandey VP, Wei H, Zhang Z, Melnekoff D, Rice WJ, Wigge C, Potter CS, Carragher B. A new method for vitrifying samples for cryoEM. J Struct Biol. 2016;195(2):190-8. Stagg SM, Gurkan C, Fowler DM, LaPointe P, Foss TR, Potter CS, Carragher B, Balch WE. Structure of the Sec13/31 COPII coat cage. Nature. 2006;439(7073):234-8. Suloway C, Pulokas J, Fellmann D, Cheng A, Guerra F, Quispe J, Stagg S, Potter CS, Carragher B. Automated molecular microscopy: the new Leginon system. J Struct Biol. 2005;151(1):41-60.4. Zhu Y, Carragher B, Glaeser RM, Fellmann D, Bajaj C, Bern M, Mouche F, de Haas F, Hall RJ, Kriegman DJ, Ludtke SJ, Mallick SP, Penczek PA, Roseman AM, Sigworth FJ, Volkmann N, Potter CS. Automatic particle selection: results of a comparative study. J Struct Biol. 2004;145(1-2):3-14. Related News 2023 International Day of Women and Girls in Science February 11, 2023 Columbia University Irving Medical Center NewYork-Presbyterian ColumbiaDoctors About Us Education Research Department of Biochemistry and Molecular Biophysics 701 West 168th Street New York , NY 10032 United States Follow Us Facebook Twitter YouTube LinkedIn © 2024 Columbia University Privacy Policy Terms and Conditions HIPAA General Information: 212-305-2862 Back to top",https://www.linkedin.com/company/2623/
"Anthony Fitzpatrick, PhD",Biochemistry and Molecular Biophysics,N/A,N/A,N/A,https://www.linkedin.com/company/2623/
"Joachim Frank, PhD",Biochemistry and Molecular Biophysics,N/A,N/A,N/A,https://www.linkedin.com/company/2623/
"Anum Glasgow, PhD",Biochemistry and Molecular Biophysics,"The diversity of natural proteins shapes cell- and tissue-level structure and behavior, and advances in protein engineering have enabled the de novo design of artificial, super-stable proteins. But real proteins have evolved to depend on biomolecular interactions and conformational flexibility in order to balance stability with function. A key challenge in protein engineering is our limited mechanistic understanding of how proteins’ conformational ensembles are poised to perform non-equilibrium processes, which enable their functions.Our research group combines computational protein design with high-throughput biophysical techniques to study biomolecular conformational changes, towards engineering proteins that change conformations, interact with other molecules, and cross membranes in response to signals. Design principles for building signal-responsive, conformation-switching proteins can guide efforts to control the behavior and development of living systems and treat diseases without disrupting healthy cells. Our long-term goal is to engineer multi-functional proteins and therapeutics that respond to ligand binding and correct localization via programmed conformational changes. This work serves the public by growing our knowledge of biomolecular behavior and opening new paths to treat disease.Website:https://www.glasgowlab.org",N/A,"A. Glasgow*, J. Glasgow*, D. Limonta, P. Solomon, I. Lui, Y. Zhang, M. Nix, N. Rettko, S. Zha, R. Yamin, K. Kao, O. S. Rosenberg, J. V. Ravetch, A. P. Wiita, K. K. Leung, S. A. Lim, X. X. Zhou, T. Hobman, T. Kortemme, J. A. Wells, “Engineered ACE2 receptor traps potently neutralize SARS-CoV-2.” Proceedings of the National Academy of Sciences USA 2020, 117(45) pp. 28046-28055. A. Glasgow*, Y-M. Huang*, D. J. Mandell*, M. C. Thompson, R. Ritterson, A. L. Loshbaugh, J. Pellegrino, C. Krivacic, R. A. Pache, K. A. Barlow, N. Ollikainen, D. Jeon, M. J. S. Kelly, J. S. Fraser, T. Kortemme, “Computational design of a modular protein sense/response system.” Science 2019, 366(6468), pp. 1024-1028. A. Glasgow, H. T. Wong and D. Tullman-Ercek, “A secretion-amplification role for Salmonella translocon protein SipD.” ACS Synthetic Biology 2017, 6(6), pp. 1006-1015. A. Azam and D. Tullman-Ercek, “Type-III secretion filaments as scaffolds for inorganic nanostructures.” Journal of the Royal Society Interface 2016, 13(114) p. 20150938. A. Azam, C. Li, K. J. Metcalf and D. Tullman-Ercek, “Type III secretion as a generalizable strategy for the production of full-length biopolymer-forming proteins.” Biotechnology and Bioengineering 2015, 113(11) pp. 2313-2320. A. Azam, K. Laflin, M. Jamal, R. Fernandes and D. H. Gracias, “Self-folding micropatterned polymeric containers.” Biomedical Microdevices 2011, 13(1) pp. 51-58. Related News Dancing with Protein February 22, 2023 2023 International Day of Women and Girls in Science February 11, 2023 Columbia University Irving Medical Center NewYork-Presbyterian ColumbiaDoctors About Us Education Research Department of Biochemistry and Molecular Biophysics 701 West 168th Street New York , NY 10032 United States Follow Us Facebook Twitter YouTube LinkedIn © 2024 Columbia University Privacy Policy Terms and Conditions HIPAA General Information: 212-305-2862 Back to top","https://www.glasgowlab.org/, https://www.linkedin.com/company/2623/"
"Stephen P. Goff, PhD",Biochemistry and Molecular Biophysics,"Goff’s current work is centered on the study of the retrovirus life cycle and the host restriction systems that inhibit virus replication. His lab identified and characterized a novel host protein, termed ZAP for zinc finger antiviral protein, that blocks gene expression of many viruses, including the murine leukemia viruses, Ebola, Sindbis, and HIV-1, by degrading viral mRNAs and inhibiting their translation. Recent work has identified RIPLET, a signaling molecule in annate immunity, as a cofactor for ZAP. The lab has also characterized a protein complex responsible for the silencing of retroviral DNAs in embryonic stem (ES) cells, and identified a zinc finger protein, ZFP809, as an ES-cell specific recognition molecule that binds the proviral DNA and brings TRIM28 to locally modify chromatin. His lab is currently studying the chromatinization and silencing of incoming retroviral DNAs after acute infection, implicating several histone modifiers and the H1 linker histones as players in silencing of unintegrated HIV-1 DNAs. He is further interested in the role of endogenous viral proteins in tumor immunology.",N/A,"Gao, G., Guo, X., and Goff, S.P. (2002) Inhibition of retroviral RNA production by ZAP, a novel CCCH-type zinc finger protein. Science 297, 1703-1706. Wolf, D., and Goff, S.P. (2009) Embryonic stem cells use ZFP809 to silence retroviral DNAs. Nature 458, 1201-1204. Metzger, M.J., Reinisch, C., Sherry, J., and Goff, S.P. (2015) Horizontal transmission of clonal cancer cells causes leukemia in soft-shell clams. Cell 161, 255–263. Sabo, Y., de Los Santos, K., and Goff, S.P. (2020) IQGAP1 negatively regulates HIV-1 Gag trafficking and virion production. Cell Rep. 30, 4065-4081.e4. Wang, G.Z., and Goff, S.P. (2020) Yin Yang 1 is a potent activator of human T lymphotropic virus type 1 LTR-driven gene expression via RNA binding. Proc. Natl. Acad. Sci. USA 117, 18701-18710. Winans, S., and Goff, S.P. (2020) Mutations altering acetylated residues in the CTD of HIV-1 integrase cause defects in proviral transcription at early times after integration of viral DNA. PLoS Pathog. 16 , e1009147. Geis, F.K., Sabo, Y., Chen, X., Li, Y., Lu, C., and Goff, S.P. (2022) CHAF1A/B mediate silencing of unintegrated HIV-1 DNAs early in infection. Proc. Natl. Acad. Sci. USA 119 , e2116735119. Winans, S., Yu, H. J., de los Santos, K., Wang, G.Z., KewalRamani, V.N., and Goff, S.P. (2022) A point mutation in HIV-1 integrase redirects proviral integration into centromeric repeats. Nat. Commun. 13 , 1474. Buckmaster, M.V., and Goff, S.P. (2022) Riplet binds the zinc-finger antiviral protein (ZAP) and augments ZAP-mediated restriction of HIV-1. J. Virol. 96 , e0052622. Li Z, Duan S, Hua X, Xu X, Li Y, Menolfi D, Zhou H, Lu C, Zha S, Goff SP, Zhang Z. (2023) Asymmetric distribution of parental H3K9me3 in S phase silences L1 elements. Nature. 623(7987):643-651. Geis FK, Goff SP. (2024) Chromatin Immunoprecipitation of Retroviral Genomes with Antibodies Recognizing Modified Histones and Specific Viral Proteins. Methods Mol Biol. 2807:163-171. Show more Publications https://www.ncbi.nlm.nih.gov/myncbi/1BCzkdI6EVy/bibliography/public/ For a complete list of publications, please visit PubMed.gov Columbia University Irving Medical Center NewYork-Presbyterian ColumbiaDoctors About Us Education Research Department of Biochemistry and Molecular Biophysics 701 West 168th Street New York , NY 10032 United States Follow Us Facebook Twitter YouTube LinkedIn © 2024 Columbia University Privacy Policy Terms and Conditions HIPAA General Information: 212-305-2862 Back to top","https://pubmed.ncbi.nlm.nih.gov/32690679/, https://www.adarc.cuimc.columbia.edu/research/research-labs/goff-lab, https://www.ncbi.nlm.nih.gov/myncbi/1BCzkdI6EVy/bibliography/public/, https://www.ncbi.nlm.nih.gov/pubmed/?term=goff+sp, https://www.linkedin.com/company/2623/"
"Max E. Gottesman, PhD",Biochemistry and Molecular Biophysics,"My laboratory investigates the mechanism of transcription termination in E. coli and how termination affects other cellular processes. Blocking the release of a stalled transcription elongation complex leads to clashes with the replisome and the formation of lethal DNA double-strand breaks. Coupling of transcription to translation suppresses stalling. NusG links RNA polymerase and the first translating ribosome. The linkage is broken by tmRNA, which releases ribosomes at rare codons. The interactions among ribosomes, RNA polymerase and DNA polymerase are being investigated using genetic and biochemical approaches. In addition, the laboratory is probing the structure of the ribosome-NusG-RNA polymerase complex (in collaboration with Dr. J. Frank).Phage HK022 Nun protein has been an active area of research. We have just begun to understand how Nun interacts with E. coli RNAP to arrest transcription. Nun, however, is full of surprises, and continues to amaze.We also have a long-standing interest in repair of DNA damage. With Dr. J. Gautier, we defined a replication-independent DNA inter-strand crosslink (ICL) repair pathway in Xenopus oocyte extracts. We have now established an E. coli based system that monitors transcription-coupled repair of ICLs.",Hormonal regulation of gene expression phage HK022 Nun transcription termination protein Regulation of transcription termination in E. coli and bacteriophage Repair of DNA damage in prokaryotes and eukaryotes,"1. Kim, H.C. and Gottesman, M.E.: (2004) Transcription Termination by Phage HK022 Nun Is Facilitated by C-terminal Lysine Residues. J. Biol. Chem 279: 13412-7 2. Feliciello, A., Gottesman, M.E., and Avvedimento, E.V. : (2005) cAMP-PKA signaling to the mitochondria: protein scaffolds, mRNA and phosphatases. Cellular Signalling 17: 279-287 3. Kim, H.C., Washburn, R.S, and Gottesman M.E. : (2006) Role of E. coli NusA in Phage HK022 Nun-mediated Transcription Termination. J. Mol. Biol 359: 10-12 4. BjÃ¶rn M. Burmann B, Schweimer K, Luo X, Wahl MC, Stitt BL Gottesman ME, and RÃ¶sch P: (2010) A NusG:NusE complex links transcription and translation. Science (in press) Columbia University Irving Medical Center NewYork-Presbyterian ColumbiaDoctors About Us Education Research Department of Biochemistry and Molecular Biophysics 701 West 168th Street New York , NY 10032 United States Follow Us Facebook Twitter YouTube LinkedIn © 2024 Columbia University Privacy Policy Terms and Conditions HIPAA General Information: 212-305-2862 Back to top",https://www.linkedin.com/company/2623/
"Eric C.  Greene, PhD",Biochemistry and Molecular Biophysics,"Our group uses single-molecule optical microscopy to study fundamental interactions between proteins and nucleic acids. Our overall goal is to reveal the molecular mechanisms that cells use to repair, maintain, and decode their genetic information. This research combines aspects of biochemistry, physics, and nanoscale technology to answer questions about complex biological problems that cannot be easily addressed through traditional biochemical approaches. As part of our work, we have established robust experimental platforms that enable single molecule imaging of biochemical reaction mechanisms in a “high throughput” experimental format that can be applied to the study of protein-nucleic acid interactions. The advantages of our approaches are that we can see what proteins are bound to DNA, where they are bound, how they move, and how they interact with and influence other components of the system – all in real-time, at the level of a single reaction. We are applying this technology towards determining the physical basis for the mechanisms that proteins use to maintain genome integrity, with particular emphasis on reactions related to homologous DNA recombination.",N/A,N/A,https://www.linkedin.com/company/2623/
