Term,Human,MeSH GPT,Abstract GPT
faculty,0.004134533207373173,0.0,0.0
therapeutics,0.004076427069152758,0.0,0.0
biophysics,0.0035025384721494813,0.0,0.0
culture,0.0029403160920282554,0.0,0.0
fruit,0.002431923144267735,0.0,0.0
autoimmunity,0.0023426012115227747,0.0,0.0
logic,0.0023375868326378636,0.0,0.0
physicians,0.0022355179220132004,0.0,0.0
surgeons,0.0022355179220132004,0.0,0.0
biostatistics,0.0019427978018987158,0.0,0.0
parasites,0.0019044358144087617,0.0,0.0
mathematics,0.0018583816236232632,0.0,0.0
leg,0.0017981226621646364,0.0,0.0
neurology,0.0017731594335124194,0.0,0.0
internal medicine,0.0015639471637741876,0.0,0.0
nephrology,0.0015177373956808578,0.0,0.0
art,0.0014924486678745319,0.0,0.0
translating,0.001457712493670865,0.0,0.0
students,0.0014417078033540324,0.0,0.0
genetic linkage,0.001438455134944015,0.0,0.0
foundations,0.0014039653131227901,0.0,0.0
texas,0.0013902098070934649,0.0,0.0
hope,0.0012968061739840769,0.0,0.0
mammals,0.0012109566430373619,0.0,0.0
chicago,0.0011449606080446355,0.0,0.0
mutagenesis,0.0011408924168379716,0.0,0.0
projection,0.001086824266713264,0.0,0.0
washington,0.001080577291854884,0.0,0.0
massachusetts,0.001004519441700858,0.0,0.0
cognitive science,0.0009963362598734594,0.0,0.0
humanities,0.0009693746923797674,0.0,0.0
paralysis,0.0009645885043125309,0.0,0.0
myocarditis,0.0009645885043125309,0.0,0.0
poliomyelitis,0.0009645885043125309,0.0,0.0
conjunctivitis,0.0009645885043125309,0.0,0.0
common cold,0.0009645885043125309,0.0,0.0
hearing,0.0009600713301477657,0.0,0.0
north carolina,0.0009152734325708869,0.0,0.0
anthropology,0.0009055214042813402,0.0,0.0
morbidity,0.0009045377824053649,0.0,0.0
optic chiasm,0.0008872781661036471,0.0,0.0
arthritis,0.0008480219546534739,0.0,0.0
aplysia,0.0008406681934652851,0.0,0.0
arizona,0.0008405820057073074,0.0,0.0
pennsylvania,0.0007986229817822189,0.0,0.0
editorial,0.0007976747356417754,0.0,0.0
laboratories,0.0007923164367479772,0.0,0.0
school nursing,0.0007893470007732422,0.0,0.0
congress,0.0007535042986889248,0.0,0.0
zinc,0.0007432778998846364,0.0,0.0
islam,0.0007430837455849436,0.0,0.0
academia,0.0007355332987831506,0.0,0.0
moscow,0.0007274683186806558,0.0,0.0
california,0.0007261936345482268,0.0,0.0
organogenesis,0.0007147488557791702,0.0,0.0
habits,0.0007139694199937641,0.0,0.0
boston,0.0007137661705646308,0.0,0.0
politics,0.0007075479174847016,0.0,0.0
urothelium,0.0007017139383424956,0.0,0.0
health policy,0.0007012440440462897,0.0,0.0
books,0.0006983168247671018,0.0,0.0
computers,0.0006977406578705631,0.0,0.0
microbiology,0.0006960557596173431,0.0,0.0
paper,0.0006934236020717399,0.0,0.0
united states,0.0006882689985988195,0.0,0.0
review,0.0006874309766264675,0.0,0.0
hallucinations,0.0006490513403783524,0.0,0.0
neural tube,0.0006480007022333736,0.0,0.0
nursing research,0.0006471540950832692,0.0,0.0
air,0.0006322330202146161,0.0,0.0
somatosensory cortex,0.0006252207695573879,0.0,0.0
israel,0.0006123399166881893,0.0,0.0
genomic medicine,0.0006117598265868476,0.0,0.0
beijing,0.0006109524484065547,0.0,0.0
hypertriglyceridemia,0.0006051766529859547,0.0,0.0
growth cones,0.0006033970102548358,0.0,0.0
chart,0.0005904320915797522,0.0,0.0
optical imaging,0.0005875250549992931,0.0,0.0
extracellular matrix,0.0005782837905753241,0.0,0.0
desmosomes,0.0005750342650900481,0.0,0.0
hair diseases,0.0005750342650900481,0.0,0.0
linkage disequilibrium,0.0005662368127731227,0.0,0.0
relaxation,0.0005586843953212122,0.0,0.0
muscle relaxation,0.0005586843953212122,0.0,0.0
hypnosis,0.0005586843953212122,0.0,0.0
protein binding,0.000551433760736299,0.0,0.0
universities,0.0005477755310632093,0.0,0.0
news,0.0005380764716969558,0.0,0.0
wound healing,0.0005258324662976122,0.0,0.0
demography,0.0005213553624970725,0.0,0.0
jews,0.0005213553624970725,0.0,0.0
chloroquine,0.0005132405920180725,0.0,0.0
intention,0.0005088651832534918,0.0,0.0
leucine zippers,0.0005061638461822435,0.0,0.0
organ size,0.0005031152331093399,0.0,0.0
gastrulation,0.000501480295407746,0.0,0.0
virginia,0.0004979566979597226,0.0,0.0
rosiglitazone,0.0004978870149559557,0.0,0.0
reflex,0.0004965121775103245,0.0,0.0
gastroenterology,0.0004960551890328493,0.0,0.0
synaptic vesicles,0.00048669109339455173,0.0,0.0
necrosis,0.0004787739562784229,0.0,0.0
birth order,0.0004663098092372365,0.0,0.0
eukaryotic cells,0.0004647428846792684,0.0,0.0
coronaviridae,0.0004647428846792684,0.0,0.0
flaviviridae,0.0004647428846792684,0.0,0.0
micrornas,0.00046458758392561985,0.0,0.0
neuroendocrine cells,0.00046458758392561985,0.0,0.0
anatomy,0.0004616322902485996,0.0,0.0
obstetrics,0.00046006661460498574,0.0,0.0
gynecology,0.00046006661460498574,0.0,0.0
mesoderm,0.000459775868335205,0.0,0.0
notochord,0.000459775868335205,0.0,0.0
cognitive psychology,0.0004584365435774633,0.0,0.0
implementation science,0.00045704138868956875,0.0,0.0
digital health,0.00045704138868956875,0.0,0.0
sound,0.00045573555540986494,0.0,0.0
photons,0.00045573555540986494,0.0,0.0
problem solving,0.00045009797698596755,0.0,0.0
air pollution,0.00044737392696972113,0.0,0.0
computer systems,0.00044737392696972113,0.0,0.0
nanofibers,0.000445921504558735,0.0,0.0
inventors,0.000445921504558735,0.0,0.0
cellular reprogramming,0.000445921504558735,0.0,0.0
quantum dots,0.000445921504558735,0.0,0.0
